type,lat,lon,start_year,life_years,total_mass_ton,area_m2,volume_m3,annual_msw_ton,annual_ch4_tonnes,annual_co2e_tonnes
Nesanitarne deponije,45.2,20.1,2019,6,9984.0,9984.0,24960.0,1664.0,0.35,8.69
Nesanitarne deponije,43.126827,21.221966,2003,22,193894.8,193894.8,484737.0,8813.4,6.1,152.42
Nesanitarne deponije,45.12371,20.171451,1989,36,112320.0,112320.0,280800.0,3120.0,2.99,74.83
Nesanitarne deponije,45.3540472,20.3644608,1986,39,1560000.0,1560000.0,3900000.0,40000.0,40.17,1004.16
Nesanitarne deponije,43.807785,21.872181,1994,31,85560.0,85560.0,213900.0,2760.0,2.42,60.44
Nesanitarne deponije,43.5995715,20.9820633,1991,34,302600.0,302600.0,756500.0,8900.0,8.25,206.36
Nesanitarne deponije,43.6479494,21.2851516,1984,41,1927000.0,1927000.0,4817500.0,47000.0,48.5,1212.61
Nesanitarne deponije,44.0,21.0,1964,61,0.0,0.0,0.0,0.0,0.0,0.0
Nesanitarne deponije,43.879473,20.38532,1973,52,0.0,0.0,0.0,0.0,0.0,0.0
Nesanitarne deponije,44.239864,22.556559,1959,66,594000.0,594000.0,1485000.0,9000.0,11.54,288.38
Nesanitarne deponije,44.4646783,21.679741,2002,23,45103.0,45103.0,112757.5,1961.0,1.4,35.04
Nesanitarne deponije,43.7195,21.389,1980,45,225000.0,225000.0,562500.0,5000.0,5.42,135.42
Nesanitarne deponije,45.2363348,21.1289255,1980,45,112500.0,112500.0,281250.0,2500.0,2.71,67.71
Nesanitarne deponije,43.2884718,21.8854718,1968,57,8550000.0,8550000.0,21375000.0,150000.0,181.36,4533.96
Nesanitarne deponije,44.269656,19.9249978,1990,35,1347500.0,1347500.0,3368750.0,38500.0,36.33,908.27
Nesanitarne deponije,45.8621904,19.1159462,1991,34,1360000.0,1360000.0,3400000.0,40000.0,37.1,927.44
Nesanitarne deponije,45.787467,19.618383,1987,38,119320.0,119320.0,298300.0,3140.0,3.11,77.69
Nesanitarne deponije,43.580309,22.262006,1950,75,900000.0,900000.0,2250000.0,12000.0,16.09,402.2
Nesanitarne deponije,43.2884718,21.8854718,1968,57,8550000.0,8550000.0,21375000.0,150000.0,181.36,4533.96
Nesanitarne deponije,43.9368,20.7338,1981,44,277200.0,277200.0,693000.0,6300.0,6.75,168.69
Nesanitarne deponije,43.8781763,21.3475269,1975,50,951000.0,951000.0,2377500.0,19020.0,21.69,542.29
Nesanitarne deponije,43.3062479,21.3246058,1977,48,595200.0,595200.0,1488000.0,12400.0,13.87,346.74
Nesanitarne deponije,43.976582,21.276852,1970,55,0.0,0.0,0.0,0.0,0.0,0.0
Nesanitarne deponije,43.291414,20.6367963,1984,41,287000.0,287000.0,717500.0,7000.0,7.22,180.6
