type,lat,lon,start_year,life_years,total_mass_ton,area_m2,volume_m3,annual_msw_ton,annual_ch4_tonnes,annual_co2e_tonnes,center_x_px,center_y_px,image_name,radius
Wild,43.2045,21.9509,2005,20,0.3,20.0,50.0,0.01,0.0,0.0,121.98,186.55,tile_block_651_480.jpg,2.82
Wild,43.1756,22.1067,2005,20,1.0,250.0,625.0,0.05,0.0,0.0,21.36,168.39,tile_block_657_505.jpg,9.97
Wild,43.174,22.1127,2005,20,0.1,100.0,250.0,0.01,0.0,0.0,511.38,339.61,tile_block_657_505.jpg,6.31
Wild,43.2076,21.9876,2005,20,1.5,600.0,1500.0,0.07,0.0,0.0,27.37,319.75,tile_block_650_486.jpg,15.45
Wild,43.2184,21.9969,2005,20,1.0,150.0,375.0,0.05,0.0,0.0,256.55,135.42,tile_block_648_487.jpg,7.73
Wild,43.2181,22.0774,2005,20,1.0,200.0,500.0,0.05,0.0,0.0,139.19,87.68,tile_block_648_500.jpg,8.92
Wild,43.2233,22.0749,2005,20,0.6,200.0,500.0,0.03,0.0,0.0,440.72,24.81,tile_block_647_499.jpg,8.92
Wild,43.1496,22.1534,2005,20,3.0,400.0,1000.0,0.15,0.0,0.0,272.75,444.53,tile_block_662_512.jpg,12.62
Wild,43.1013,22.1309,2005,20,0.4,200.0,500.0,0.02,0.0,0.0,51.63,201.3,tile_block_673_509.jpg,8.92
Wild,43.118,22.2008,2005,20,2.0,100.0,250.0,0.1,0.0,0.0,81.21,315.63,tile_block_669_520.jpg,6.31
Wild,43.12,22.172,2005,20,5.0,150.0,375.0,0.25,0.0,0.0,295.12,126.69,tile_block_669_515.jpg,7.73
Wild,43.1208,22.1642,2005,20,0.5,200.0,500.0,0.03,0.0,0.0,171.36,46.7,tile_block_669_514.jpg,8.92
Wild,43.1496,22.1534,2005,20,3.0,400.0,1000.0,0.15,0.0,0.0,272.75,444.53,tile_block_662_512.jpg,12.62
Wild,43.1484,22.1481,2005,20,1.5,500.0,1250.0,0.07,0.0,0.0,355.63,71.72,tile_block_663_511.jpg,14.1
Wild,43.1206,22.1922,2005,20,9.0,1000.0,2500.0,0.45,0.0,0.01,401.46,36.89,tile_block_669_518.jpg,19.95
Wild,43.1586,22.1246,2005,20,1.0,500.0,1250.0,0.05,0.0,0.0,477.56,500.9,tile_block_660_507.jpg,14.1
Wild,43.1623,21.9576,2005,20,0.2,200.0,500.0,0.01,0.0,0.0,207.89,258.78,tile_block_660_481.jpg,8.92
Wild,43.152,21.9252,2005,20,1.0,200.0,500.0,0.05,0.0,0.0,146.59,408.22,tile_block_662_476.jpg,8.92
Wild,43.1621,21.9226,2005,20,1.5,500.0,1250.0,0.07,0.0,0.0,434.83,312.92,tile_block_660_475.jpg,14.1
Wild,43.1519,21.9246,2005,20,0.5,200.0,500.0,0.03,0.0,0.0,97.93,419.86,tile_block_662_476.jpg,8.92
Wild,43.1365,21.9144,2005,20,5.0,600.0,1500.0,0.25,0.0,0.0,311.25,91.17,tile_block_666_474.jpg,15.45
Wild,43.0966,22.1939,2005,20,1.0,500.0,1250.0,0.05,0.0,0.0,65.71,140.17,tile_block_674_519.jpg,14.1
Wild,43.1359,22.1715,2005,20,1.0,200.0,500.0,0.05,0.0,0.0,229.76,409.53,tile_block_665_515.jpg,8.92
Wild,43.1307,22.1712,2005,20,0.2,100.0,250.0,0.01,0.0,0.0,213.44,475.34,tile_block_666_515.jpg,6.31
Wild,43.2105,21.9624,2005,20,0.5,200.0,500.0,0.03,0.0,0.0,24.56,21.55,tile_block_650_482.jpg,8.92
Wild,43.2054,21.9648,2005,20,0.5,200.0,500.0,0.03,0.0,0.0,226.04,73.68,tile_block_651_482.jpg,8.92
Wild,43.2076,22.0729,2005,20,1.0,200.0,500.0,0.05,0.0,0.0,300.65,234.44,tile_block_650_499.jpg,8.92
Wild,44.5307,21.3205,2005,20,5.0,100.0,250.0,0.25,0.0,0.0,50.66,224.78,tile_block_364_379.jpg,6.31
Wild,44.5466,21.3016,2005,20,100.0,1000.0,2500.0,5.0,0.0,0.08,78.42,0.35,tile_block_361_376.jpg,19.95
Wild,44.5541,21.3852,2005,20,100.0,1100.0,2750.0,5.0,0.0,0.08,59.21,163.34,tile_block_359_389.jpg,20.92
Wild,44.5472,21.3582,2005,20,5.0,300.0,750.0,0.25,0.0,0.0,478.11,427.55,tile_block_360_384.jpg,10.93
Wild,44.5268,21.4026,2005,20,50.0,500.0,1250.0,2.5,0.0,0.04,432.13,117.12,tile_block_365_391.jpg,14.1
Wild,44.5005,21.3675,2005,20,30.0,1500.0,3750.0,1.5,0.0,0.02,216.18,491.61,tile_block_370_386.jpg,24.43
Wild,44.4963,21.3322,2005,20,70.0,1000.0,2500.0,3.5,0.0,0.06,483.83,458.15,tile_block_371_380.jpg,19.95
Wild,44.5148,21.4315,2005,20,50.0,1600.0,4000.0,2.5,0.0,0.04,175.61,414.33,tile_block_367_396.jpg,25.23
Wild,44.516,21.3705,2005,20,5.0,800.0,2000.0,0.25,0.0,0.0,446.86,304.83,tile_block_367_386.jpg,17.84
Wild,44.5412,21.2818,2005,20,50.0,500.0,1250.0,2.5,0.0,0.04,43.69,93.79,tile_block_362_373.jpg,14.1
Wild,44.5767,21.2431,2005,20,20.0,100.0,250.0,1.0,0.0,0.02,29.55,256.38,tile_block_354_367.jpg,6.31
Wild,44.5819,21.2626,2005,20,440.0,3000.0,7500.0,22.0,0.01,0.35,39.86,185.97,tile_block_353_370.jpg,34.55
Wild,44.5229,21.2866,2005,20,50.0,500.0,1250.0,2.5,0.0,0.04,432.14,77.2,tile_block_366_373.jpg,14.1
Wild,44.5753,21.2784,2005,20,1.0,100.0,250.0,0.05,0.0,0.0,272.67,402.94,tile_block_354_372.jpg,6.31
Wild,44.496,21.3042,2005,20,10.0,120.0,300.0,0.5,0.0,0.01,305.87,500.13,tile_block_371_376.jpg,6.91
